participants,item,score
1,1,1628.333333
1,2,65
1,3,1318.333333
1,4,-313.3333333
1,5,1216.666667
1,6,790
1,7,1458.333333
1,8,1838.333333
1,9,885
1,10,-135
1,11,-1370
1,12,280
1,13,-728.3333333
1,14,-1830
1,15,978.3333333
1,16,-188.3333333
1,17,45
1,18,-1071.666667
1,19,-303.3333333
1,20,833.3333333
2,1,-423.3333333
2,2,-256.6666667
2,3,295
2,4,-881.6666667
2,5,-913.3333333
2,6,450
2,7,-408.3333333
2,8,5
2,9,-226.6666667
2,10,950
2,11,245
2,12,731.6666667
2,13,263.3333333
2,14,-236.6666667
2,15,-250
2,16,405
2,17,-658.3333333
2,18,-66.66666667
2,19,253.3333333
2,20,-696.6666667
3,1,0
3,2,118.2867172
3,3,0
3,4,313.209899
3,5,0
3,6,-2065.852525
3,7,603.0956566
3,8,239.9054545
3,9,261.5635859
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,-373.1862626
3,18,0
3,19,0
3,20,226.5773737
4,1,401.6593636
4,2,611.6555455
4,3,296.6612727
4,4,-256.662
4,5,381.6597273
4,6,784.9857273
4,7,566.6563636
4,8,-324.9940909
4,9,943.3161818
4,10,609.9889091
4,11,-209.9961818
4,12,359.9934545
4,13,474.9913636
4,14,-96.66490909
4,15,979.9821818
4,16,-218.3293636
4,17,359.9934545
4,18,-424.9922727
4,19,-916.65
4,20,919.9832727
5,1,-565.0034242
5,2,-1788.344172
5,3,190.0011515
5,4,886.6720404
5,5,-1250.007576
5,6,91.66722222
5,7,316.6685859
5,8,-113.3340202
5,9,1226.674101
5,10,-1838.344475
5,11,-893.3387475
5,12,2266.680404
5,13,468.3361717
5,14,-893.3387475
5,15,51.6669798
5,16,-1388.341747
5,17,1276.674404
5,18,1981.678677
5,19,-561.6700707
5,20,-88.33386869
6,1,1481.666667
6,2,-306.6666667
6,3,-480
6,4,-690
6,5,230
6,6,406.6666667
6,7,140
6,8,-701.6666667
6,9,-1360
6,10,466.6666667
6,11,1680
6,12,-1625
6,13,78.33333333
6,14,-151.6666667
6,15,-570
6,16,711.6666667
6,17,-1435
6,18,-615
6,19,905
6,20,-556.6666667
7,1,-128.3341111
7,2,275.0016667
7,3,660.004
7,4,975.0059091
7,5,-65.00039394
7,6,-343.3354141
7,7,623.3371111
7,8,-90.00054545
7,9,895.0054242
7,10,1020.006182
7,11,161.6676465
7,12,965.0058485
7,13,1093.33996
7,14,395.0023939
7,15,1355.008212
7,16,255.0015455
7,17,78.33380808
7,18,713.3376566
7,19,110.0006667
7,20,-21.66679798
8,1,541.6732323
8,2,138.3350101
8,3,1105.013394
8,4,665.0080606
8,5,-191.6689899
8,6,206.6691717
8,7,993.3453737
8,8,121.6681414
8,9,473.3390707
8,10,153.3351919
8,11,-410.0049697
8,12,-1001.678808
8,13,-45.00054545
8,14,106.6679596
8,15,-978.3451919
8,16,385.0046667
8,17,-320.0038788
8,18,-945.0114545
8,19,146.6684444
8,20,748.342404
9,1,-876.6719798
9,2,485.0029394
9,3,1555.009424
9,4,-866.6719192
9,5,-1290.007818
9,6,63.33371717
9,7,-170.0010303
9,8,71.66710101
9,9,-460.0027879
9,10,1811.677646
9,11,2696.68301
9,12,1495.009061
9,13,108.3339899
9,14,333.3353535
9,15,-65.00039394
9,16,-1375.008333
9,17,-1675.010152
9,18,835.0050606
9,19,-805.0048788
9,20,546.6699798
10,1,116.6673737
10,2,1196.673919
10,3,51.6669798
10,4,503.3363838
10,5,213.3346263
10,6,498.3363535
10,7,-566.670101
10,8,1943.345111
10,9,301.6684949
10,10,498.3363535
10,11,36.66688889
10,12,173.3343838
10,13,490.0029697
10,14,-113.3340202
10,15,-185.0011212
10,16,1030.006242
10,17,11.66673737
10,18,-626.6704646
10,19,1240.007515
10,20,-570.0034545
11,1,126.6666667
11,2,731.6666667
11,3,-241.6666667
11,4,276.6666667
11,5,1220
11,6,115
11,7,1096.666667
11,8,956.6666667
11,9,1561.666667
11,10,563.3333333
11,11,333.3333333
11,12,1455
11,13,-201.6666667
11,14,395
11,15,718.3333333
11,16,406.6666667
11,17,206.6666667
11,18,1261.666667
11,19,701.6666667
11,20,1125
12,1,-686.6708283
12,2,-205.0012424
12,3,-131.6674646
12,4,-265.0016061
12,5,1318.341323
12,6,750.0045455
12,7,263.3349293
12,8,2130.012909
12,9,-225.0013636
12,10,211.6679495
12,11,816.6716162
12,12,2321.680737
12,13,538.336596
12,14,-648.3372626
12,15,0
12,16,-100.0006061
12,17,638.337202
12,18,-63.33371717
12,19,55.00033333
12,20,-1126.673495
13,1,1086.225414
13,2,588.0944343
13,3,1975.86402
13,4,-1074.563485
13,5,2360.707687
13,6,2420.683323
13,7,1346.119838
13,8,991.2639899
13,9,1067.899525
13,10,1302.804101
13,11,366.5177778
13,12,-158.2690404
13,13,916.2944444
13,14,1567.696495
13,15,388.1756465
13,16,101.6253838
13,17,1506.054869
13,18,169.9309697
13,19,1604.348273
13,20,-483.1370707
14,1,1650
14,2,785
14,3,1253.333333
14,4,2013.333333
14,5,1526.666667
14,6,1246.666667
14,7,261.6666667
14,8,760
14,9,780
14,10,-118.3333333
14,11,835
14,12,1260
14,13,106.6666667
14,14,1455
14,15,1785
14,16,1773.333333
14,17,1223.333333
14,18,1123.333333
14,19,730
14,20,340
15,1,344.9937273
15,2,401.6593636
15,3,1386.641455
15,4,1139.979273
15,5,713.3203636
15,6,591.6559091
15,7,226.6625455
15,8,199.9963636
15,9,-53.33236364
15,10,1679.969455
15,11,1779.967636
15,12,-1223.311091
15,13,2301.624818
15,14,2374.956818
15,15,1089.980182
15,16,-14.99972727
15,17,2164.960636
15,18,521.6571818
15,19,-123.3310909
15,20,1211.644636
16,1,-885.0160909
16,2,616.6778788
16,3,-158.3362121
16,4,256.6713333
16,5,1755.031909
16,6,466.6751515
16,7,926.6835152
16,8,33.33393939
16,9,365.0066364
16,10,860.0156364
16,11,668.3454848
16,12,-98.33512121
16,13,593.3441212
16,14,55.001
16,15,-155.0028182
16,16,853.3488485
16,17,1795.032636
16,18,2435.044273
16,19,1830.033273
16,20,443.3413939
17,1,-126.663596
17,2,808.3137374
17,3,-1384.966424
17,4,0
17,5,0
17,6,-1301.635111
17,7,438.3227071
17,8,404.9901818
17,9,373.3242828
17,10,-388.3239192
17,11,0
17,12,1911.620323
17,13,404.9901818
17,14,0
17,15,194.9952727
17,16,0
17,17,-788.3142222
17,18,-381.6574141
17,19,0
17,20,248.3273131
